Feature,Importance,Importance_Pct,Cumulative_Pct,Rank
region_3_alv,0.2983306947011005,29.83306947011005,29.83306947011005,1
pct_items_10k_plus,0.15513219477509366,15.513219477509367,45.34628894761941,2
construction_alv,0.10056037976326572,10.056037976326571,55.402326923945985,3
region_4_alv,0.09780264861450368,9.780264861450368,65.18259178539635,4
passenger_pct,0.07143428576308274,7.143428576308273,72.32602036170462,5
construction_pct,0.049219024042180315,4.921902404218032,77.24792276592265,6
trucks_med_heavy_alv,0.046807237717132424,4.680723771713242,81.9286465376359,7
ag_alv,0.037101364337590044,3.7101364337590046,85.6387829713949,8
region_5_alv,0.028298994449296268,2.8298994449296266,88.46868241632453,9
region_3_pct,0.020047487052652076,2.0047487052652078,90.47343112158974,10
ag_pct,0.0169781776864746,1.69781776864746,92.1712488902372,11
total_items_sold,0.015945386617220298,1.5945386617220298,93.76578755195922,12
trucks_med_heavy_pct,0.015697855593600273,1.5697855593600274,95.33557311131925,13
region_4_pct,0.015253358015145,1.5253358015145,96.86090891283375,14
pct_items_under_500,0.012695257616243193,1.2695257616243194,98.13043467445807,15
region_5_pct,0.009970244518819959,0.9970244518819958,99.12745912634007,16
passenger_alv,0.008725408736599277,0.8725408736599277,100.0,17
